abatement,cod_plausible,construction,cost_usd,deep_scan,focus,ia,inr,news,pins,project,status,turns,violations
False,True,False,0.8808829499999999,True,PUCT Interchange blocked (402 this session) — retry for IA filing; IA date will anchor the COD plausibility | NRC ADAMS: search for STP Unit 2 HP turbine outage/power uprate license amendment request; NRC approval is prerequisite for any uprate MW claim,False,27INR0557,False,0,STP Unit2 High Pressure Turbine Upgrade,ok,43,
False,False,False,0.9667551,False,"Identify developer parent behind Zeus Mitchell BESS II, LLC (GridTracker paywall blocked T3 — try TX SOS SOSDirect entity search for registered agent/parent) | Locate Ranger Camp (bus 10049) and Prong Moss (bus 10057) 345 kV substations via ERCOT transmission maps or RRC GIS to get site coordinates for imagery",False,26INR0686,False,0,Zeus Mitchell BESS II,ok,46,
False,False,False,1.1554057500000001,True,"FAA OE/AAA obstruction filings — search by county (Mitchell) and applicant (Spade Wind) for exact turbine coordinates | Developer identity — ercotqueue.com names 'Spade Wind, LLC', not 'Zeus Spade Wind, LLC'; verify TX SOS registration and parent entity",False,26INR0386,True,0,Zeus Spade Wind ,ok,54,
False,False,False,1.01277015,False,"TCEQ air permit (NSR) search for Grimes County gas turbine — no permit = strong paper-project evidence | PUCT Interchange IA filings when portal unblocked — project is at FIS stage, IA may be in progress",False,26INR0370,False,0,Central Power Station,ok,42,
True,False,False,1.0744517999999998,True,IA signed 2021-11-23 but FIS only approved 2026-06-17 — retrieve IA PDF from PUCT Interchange to confirm schedule exhibit and any COD commitments; check for amendment filings post-FIS | County abatement confirmed July 2025 but type unclear (Ch.312 vs JETI) — retrieve Wilson County Commissioner Court minutes or application for acreage parcel description to pin site location precisely,True,23INR0027,False,0,Cachena Solar SLF,ok,47,
False,False,False,0.8759411999999999,False,"Chermac Energy has two Hardeman County projects (Quanah Solar ~509 MW and Taabe Solar ~310 MW) — confirm which INR maps to which and whether they share a POI | Jim Treece 345kV substation location — if pinnable, enables imagery scan of Hardeman County footprint",False,23INR0055,False,0,Tabor Solar ,ok,39,
False,True,False,0.73561665,True,"PUCT Interchange IA filing (iaSigned 2024-11-25) — retrieve PDF, extract milestone schedule exhibit and POI/parties page to pin site location and confirm COD obligations | Site location — POI 'Tap 345kV 3381 Big Brown – 68091 Navarro circuit' narrows to Navarro County corridor; deep scan should geolocate tap point via ERCOT transmission maps or FAA/state permit filings to enable imagery",True,24INR0188,False,0,Tehuacana Creek Solar,ok,33,
False,True,False,0.8210133,True,PUCT docket 35077 item 2079: IA PDF blocked during triage — fetch parties page and milestone-schedule exhibit to confirm COD contractual dates | Parent developer identity: 988 Howard Ave Burlingame CA address matches Intersect Power pattern — confirm via TX SOS filing or corporate registry,True,25INR0102,False,0,Austin Bayou Solar,ok,35,
False,True,False,0.9059887500000003,False,"PUCT Interchange: search FilingParty='GCI Orbit Energy Storage' when portal accessible — IA may exist but was not reachable this triage (402 block) | CDSE imagery at Calaveras Power Station (29.3082, -98.3225) when auth restored — battery pad would be compact, visible near substation",False,27INR0082,False,0,Orbit Energy Storage,ok,42,
False,False,False,1.1443858500000001,False,PUCT Interchange IA search once portal access restored — no IA in queue history but worth verifying no out-of-band filing exists | CDSE imagery when credentials refreshed — site candidate is plausible but unconfirmed; battery pad would be very compact,False,27INR0195,False,0,CORRUSCANT BESS,ok,52,
False,False,False,1.03094235,False,Confirm developer identity via TX SOS LLC search for 'Vaquero 1 Wind LLC' — no developer surfaced at all | FAA OE/AAA search for turbine coordinates in Zapata County (portal blocked during triage),False,17INR0043,False,0,Vaquero 1 Wind,ok,37,
False,False,False,0.9574176,False,TCEQ NSR air permit search for Reeves County reciprocating engine project — absence would confirm paper status | TX SOS entity lookup for 'Exergy Energy West Texas Natural Gas Reciprocating Power I LLC' — may not exist,False,26INR0685,False,0,Exergy Energy West Texas Natural Gas Reciprocating Power I,ok,36,
True,True,True,0.31737255,True,"Prior deep scan already completed 2026-07-17 (dossier.md, findings.json, brief.html) — re-scan not needed unless refreshing | If refreshing: check imagery post-2026-07 to confirm panel installation has begun (In-Service Date 2026-12-03 is ~5 months out)",True,23INR0086,True,1,Hanson Solar,ok,11,
False,True,False,0.96170625,True,"PUCT Case 51568 — retrieve IA/CCN filing to confirm parties, POI, and any milestone schedule (portal blocked during triage) | Confirm whether earlier phases are actually COD/operational vs still queued — Global Energy Monitor claim vs ERCOT queue record",True,21INR0341,True,0,Space City Solar,ok,42,
False,True,False,0.8943093,True,"Retrieve PUCT IA PDF (docket search via authenticated session) — Amendment No. 1 filed 2024-12-12 may contain revised milestone schedule; original IA milestone schedule not seen | CDSE imagery: CDSE creds returning 401, fix credentials then run 3×3 grid near Barry SE (32.134,-96.710) to confirm construction extent post-groundbreaking May 2026",True,22INR0437,True,0,TORMES SOLAR,ok,43,
False,True,False,0.8484450000000001,True,"Obtain precise parcel coordinates (likely via Concho County CAD or Primoris/HDEC press materials) to enable accurate Sentinel-2 imagery pull | Pull CDSE imagery post-Jan 2026 to verify construction activity at the 2,900-acre site",True,25INR0225,True,0,Lucy Solar,ok,39,
False,True,False,0.8401854000000002,True,"TCEQ air permit status — locate current AQSEGU registration number and approval date; design changed from 6×GE LM6000 to 16 IC engines, confirm final config is permitted | Site coordinates — TCEQ RN/facility record or county appraisal district parcel to pin exact site; needed to enable imagery",True,26INR0519,True,0,Sky Global West Houston,ok,44,
False,True,False,1.0794241500000001,True,Pin the exact site: Yellow Wolf substation (bus 79007) geo-coordinates via ERCOT transmission maps or open-infra data — the main Pecan Prairie project may share the same POI area | CDSE imagery over SW Leon County once credentials configured — check for panel grading/racking at or near the Pecan Prairie main construction footprint,True,21INR0428,True,0,Pecan Prairie North,ok,47,
False,False,False,0.8546057999999999,True,"Resolve COD anomaly: project is reportedly operating but ERCOT queue lacks approvedForCommercialOperation — check if this is a data lag, partial commissioning (321.2 MW solar vs 380 MW total with BESS), or separate BESS queue entry | Confirm exact commissioning date from TotalEnergies press release (URL: corporate.totalenergies.us — returned 404 during triage, try alternate TotalEnergies news URL)",True,19INR0041,True,0,Myrtle Solar,ok,37,
False,True,False,1.1929205999999997,True,IA document not retrieved — PUCT Interchange portal was 402-blocked; try direct PUCT docket search or ERCOT GIS portal for IA PDF to get milestone schedule and parties | Developer identity unknown — 'Royal River LLC' is the only name found; parent company / sponsor needed for deal tracking,False,24INR0282,False,0,Royal River BESS,ok,51,
False,True,False,1.1120455500000002,True,IA PDF retrieval via PUCT Interchange (portal was 402-blocked during triage) — schedule exhibit and parties page would confirm developer identity and COD milestones | Developer identity: 'Two Forks LLC' surfaces on aggregators but no LLC registration or press release found — Texas SOS lookup for 'Two Forks BESS LLC' and 'Two Forks LLC',True,24INR0198,False,0,Two Forks BESS,ok,48,
False,True,False,1.1057488500000003,False,"PUCT Interchange: search for IA filing under 'Team Ranch Storage' or 'Benbrook' — portal was 402-blocked during triage | CDSE imagery at POI center (32.673, -97.461) once auth recovers — center chips not obtained",False,24INR0763,False,0,Team Ranch Storage,ok,50,
False,False,False,0.9999994499999998,True,TCEQ air permit (NSR) search: mandatory for gas turbine — no permit found yet; absence = paper-project signal | PUCT Interchange: portal blocked (402) during triage — run authenticated search for FilingParty='Wolf Hollow III' and Description='Wolf Hollow',False,24INR0567,False,0,Wolf Hollow III,ok,45,
