abatement,cod_plausible,construction,cost_usd,deep_scan,focus,ia,inr,news,pins,project,status,turns,violations
False,False,False,0.8577548999999998,False,If deep scan still warranted: TCEQ NSR air permit search (no permit = confirmed paper project) — search by La Paloma Energy Center or Aegle Power in Harlingen/Cameron County | PUCT TEF docket App-162 documents — denial letter may contain due-diligence findings that further illuminate developer credibility,False,27INR0084,True,0,Aegle Power,ok,38,
False,False,False,0.8986006499999999,True,PUCT INTERCHANGE: pull IA filed under 26INR0261 or 'Bastrop Peaking' to get the milestone schedule exhibit and map attachment (will yield site coordinates) | TCEQ AIR PERMIT (NSR/BACT): mandatory for 1104 MW gas turbine — search TCEQ Air Permits Online by facility name 'Bastrop Peaking'; absence = strong paper-project flag,True,26INR0261,False,0,Bastrop Peaking Generators (TEF-Due Diligence),ok,40,
False,False,False,0.9193838999999997,False,TCEQ air permit (NSR) search — mandatory for any gas turbine; absence = strong paper-project signal; run tceq.texas.gov air-permit database | PUCT Interchange via authenticated session — 402 blocked during triage; search FilingParty='Trailblazer Natural Gas Generation Plant',False,27INR0575,False,0,Trailblazer Natural Gas Generation Plant,ok,36,
False,True,False,1.1132921999999996,True,"IA signed 2024-06-27 but PUCT Interchange portal was blocked (402) — retry IA PDF fetch for parties/POI page and milestone schedule exhibit | Developer S&S Renewables, LLC has minimal public presence — check TX SOS entity search and ERCOT queue filings for contact/parent company",False,26INR0155,False,0,Ross Solar,ok,48,
False,False,False,0.889491,False,"Fix CDSE credentials and run imagery around RAMHORN substation (~33.02N, -97.47W, buffer 1 km) to check for site prep | PUCT Interchange search for 'Prairie Point' once portal access restored — IA likely not filed yet given milestone state, but worth confirming",False,27INR0619,False,0,Prairie Point Energy Storage II,ok,43,
False,False,False,0.78128805,False,"Geolocate RAMHORNH substation via ERCOT transmission GIS or Oncor utility filings to unlock imagery | Identify developer/parent behind 'Prairie Point LLC' — sister project 27INR0619 shares same LLC, parallel filing may surface sponsor",False,27INR0618,False,0,Prairie Point Energy Storage I,ok,37,
False,True,False,1.0438335,True,"Mitsubishi Power MHI501JAC turbine order status — confirm purchase/delivery contract (multi-year lead time; if ordered pre-2025 COD is plausible, if not ordered yet 2027 is at risk) | PUCT TEF docket 56896 — retrieve due-diligence documents, especially financial close conditions and milestone schedule exhibit (PUCT Interchange blocked during triage)",True,23INR0029,True,0,Cedar Bayou 5 (TEF - Due Diligence),ok,44,
False,False,False,0.8906188500000001,False,TCEQ air permit search — mandatory for any gas combustion project; absence would confirm paper status | Texas SOS entity search for 'TEXPO LLC' or 'Oklaunion Power Station LLC' — check formation date and registered agent,False,22INR0497,False,0,TEXPO,ok,39,
False,False,False,1.3905920999999999,False,"PUCT Interchange: search manually or via authenticated session for IA or filing under 'Jack County III' or 'JCKCNTY2' | Identify Jack County 2 Plant coordinates via EIA-860 or ERCOT Gen Resource Data, then run cdse tight chip + baseline",False,26INR0351,False,0,Jack County III – 345 kV,ok,52,
False,True,False,1.2716301,True,"IA exists (queue-confirmed iaSigned=2024-10-02) but PUCT Interchange portal blocked — retrieve IA PDF to confirm parties, POI, and milestone schedule | Construction start milestone still unreported as of Jun 2026 — Dec 2027 COD requires imminent mobilization; verify via fresher imagery once CDSE creds restored",True,24INR0201,False,0,Short Creek Solar,ok,53,
False,True,False,1.1729605499999998,True,"PUCT Interchange: IA filing for 26INR0269 or 'Moccasin Solar' — blocked during triage (402); try authenticated session or PUCT docket search to get IA parties, POI coordinates, and milestone schedule exhibit | POI substation geo-lookup: Kirchhoff Bus#60707 and Clear Crossing Bus#60515 — find coordinates to anchor imagery; try ERCOT MIS, OpenInfraMap, or AEP transmission maps",False,26INR0269,False,0,Moccasin Solar,ok,51,
False,True,False,1.13676915,True,"PUCT interchange inaccessible this run (402) — retry IA search by FilingParty='Hobby BESS I' and Description contains '26INR0546'; IA signed date is the key gate | Exact substation parcel: locate CenterPoint 'Garden Villas 138kV' (#42680) on OpenStreetMap or HCAD parcel map, then run tight 0.5-km chip to check for graded pad",False,26INR0546,False,0,Hobby BESS I,ok,44,
False,False,False,0.9488353500000001,False,Locate Parker Switch substation (bus #1436) coordinates via ERCOT transmission network model data to enable imagery run | PUCT Interchange search requires browser session — check for IA filing under 'Rocking X Solar' or developer name once identified,False,23INR0368,False,0,Rocking X Solar,ok,35,
False,True,False,0.97065885,True,"PUCT Interchange IA PDF: IA signed 2025-02-21 — portal returned 402 during triage; deep scan should retrieve IA to extract milestone schedule, parties, and POI terms | CDSE imagery: credentials must be refreshed; Riley Substation site candidate is viable — run 3x3 grid + baseline comparison to check for turbine pad strings or access roads",True,27INR0005,False,0,Dundee East A Wind,ok,44,
False,False,False,0.8559793499999998,False,"TCEQ NSR air permit search for Rock House Draw Gas LLC — if permit exists, upgrade to deep scan | Texas SOS entity search for 'Rock House Draw' to identify developer/parent and any PE backing",False,27INR0653,False,0,Rock House Draw Gas,ok,36,
False,True,False,0.9695543999999996,False,"PUCT Interchange IA search once portal is accessible — project is pre-IA, IA execution is the key trigger event to watch | Identify developer behind 'Airport Storage I LLC' (from tracker listing) via TX SOS business entity search",False,26INR0545,False,0,Knight Airport BESS I,ok,43,
True,True,False,1.44100815,True,PUCT Interchange IA filing (iaSigned 2021-01-04 confirmed in queue) — retrieve parties/POI page and milestone-schedule exhibit; portal returned 402 during triage | Ch.313 App 1422 application PDF — extract site parcel/coordinates to sharpen imagery centroid beyond county-seat proxy,True,20INR0255,False,0,Renegade Project,ok,48,
False,True,False,0.8508749999999999,True,IA PDF not retrieved — PUCT Interchange blocked from this env; pull milestone schedule and POI exact coordinates from IA | S&S Renewables LLC profile is thin — verify developer track record and capitalization via TX SOS or Pitchbook,True,26INR0156,False,0,Ross Storage,ok,43,
False,True,False,0.8920786500000002,True,"PUCT Interchange IA PDF — portal blocked during triage; IA signed 2025-12-30 per queue data, document should exist; extract parties/POI page and milestone schedule | Twelvemile 345kV substation geolocation — ERCOT bus 76008; pin the substation then run Sentinel-2 contact sheet over 3x3 grid to check for ground disturbance",False,24INR0404,False,0,Tres Rios Ranch Solar,ok,41,
False,False,False,0.9682919999999999,False,Locate Bluff Creek (Bus 60040) or Mulberry Creek (Bus 6235) substation coordinates via ERCOT NOM or OpenInfraMap to enable imagery | Identify developer/parent company behind Dog Star Solar LLC — no web footprint found; TX SOS search needed,False,27INR0503,False,0,Dog Star Solar I,ok,41,
False,False,False,0.7092072,False,"Identify developer/parent company — 'Dog Star Solar LLC' name only, no parent surfaced; TX SOS lookup would resolve | Twin project 27INR0503 (Dog Star Solar I, same POI) — 1 GW combined may share developer and site; check both together",False,27INR0504,False,0,Dog Star Solar II,ok,34,
False,True,False,0.9229364999999999,True,IA exists (signed 2023-04-12) but PUCT Interchange blocked (402) — retrieve IA PDF via authenticated session to get POI coordinates and milestone schedule exhibit | No FIS approved in queue — clarify whether FIS was waived or is outstanding; FIS gap is a red flag for 2027 COD,True,23INR0057,False,0,Duffy Solar,ok,43,
False,False,False,0.9566973,True,"PUCT Interchange was 402-blocked — retrieve IA PDF (signed 2025-07-01) for POI, parties, and milestone schedule exhibit | Buck Canyon 345kV substation: locate on ERCOT transmission maps or OpenInfraMap to establish site candidate for imagery",False,26INR0621,False,0,Juno 3 Solar,ok,40,
,,,0.8647477500000003,,,,27INR0500,,,Antila Solar,no_findings,38,triage_findings.json missing
False,False,False,0.8251103999999997,False,"Identify developer/owner: no LLC, no news, no PUCT filings found — SEC EDGAR or TX SOS search needed | PUCT Interchange IA check: portal blocked (402) during triage — retry with authenticated session",False,27INR0499,False,0,Draco Solar,ok,36,
False,True,False,0.7730436000000002,True,Retrieve PUCT Case 59183 (WETT CCN) filings — milestone schedule exhibit and parties page; check for CEII redaction of construction dates | Identify developer parent company behind 'Juno Solar 4' — no LLC registration or corporate parent surfaced in T3,True,27INR0434,True,0,Lyra Solar,ok,36,
True,False,False,0.7959085499999997,True,"Scurry County Commissioners Court minutes Apr 16 2024 (PDF, page/0122) — OCR required to get Exhibit A property description for site coordinates and imagery targeting | Texas Comptroller Ch.312 annual report for Scurry County 2024 — may list Cedar Draw Solar LLC as abatement recipient",False,27INR0192,True,0,Cedar Draw Solar,ok,37,
False,False,False,0.7429004999999999,False,TCEQ air permit search (NSR/PSD) — mandatory for a 448 MW gas CC; zero web footprint and no permit = strong paper-project signal; confirm or refute before any deeper investment | PUCT Interchange direct portal access — both FilingParty and Description searches returned 402; check for any IA filing once portal access is restored,False,27INR0606,False,0,Big Watt Mustang Power,ok,36,
False,False,False,0.6907113000000001,False,FIS approval status — queue shows FIS requested (2019-08-23) but never approved; check if ERCOT study results were issued or if project is stalled in study queue | PUCT Interchange — portal was 402-blocked during triage; retry for IA or preliminary interconnection filings under Hecate Comanche Solar LLC,False,22INR0237,False,0,Dragan Solar,ok,31,
False,False,False,1.35590235,False,Confirm developer identity — 'BRP' prefix unexplained; no web presence found; Texas SOS LLC registry search for 'BRP Mekong BESS' or 'Mekong BESS' | PUCT Interchange IA search (blocked via WebFetch during triage) — attempt via authenticated session or manual check for any IA or FIS study filings,False,24INR0135,False,0,BRP Mekong BESS,ok,57,
False,True,False,0.78711945,True,"IA retrieved from PUCT control #35077 (Oncor filing 2023-10-26) — PUCT portal blocked during triage; pull IA PDF for milestone schedule and POI coordinates | Locate AJSwope / Windmill 345kV substations to establish site candidate, then run Sentinel-2 imagery",True,23INR0056,False,0,Caliche Mound Solar ,ok,35,
False,False,False,1.0701328499999996,False,"Confirm developer identity: infrasure.ai lists 'BRP Blue Topaz 3, LLC' — verify via Texas SOS entity search and cross-ref to any BRP Energy / Blue Topaz portfolio track record | PUCT Interchange IA search: portal returned 402 this run — retry when accessible; IA filing would confirm or deny developer commitment",False,24INR0500,False,0,Claire BESS,ok,48,
False,False,False,0.8824574999999999,False,Identify developer/LLC via TX SOS search — no developer surfaced in web sweep | PUCT Interchange requires browser session; check FilingParty='Digital Ranch Gas' and Description='28INR0100' manually,False,28INR0100,False,0,Digital Ranch Gas ,ok,42,
False,True,False,1.3141514999999995,True,Locate 'Energy Forge One LLC' PUCT Interchange IA filing — entity confirmed but portal 402-blocked during triage; IA likely exists given 2027 COD target | TCEQ air permit (NSR) search for 'Energy Forge One' or 'Kilby' in Reeves County — mandatory for gas turbine; no permit found = paper-project risk,False,27INR0572,True,0,Kilby1 Part 1 Small Block Simple Cycle,ok,47,
False,True,False,0.67494975,True,IA filing exists (signed 2025-11-07) but PUCT Interchange blocked (402) — retrieve IA PDF to get milestone schedule and developer/offtake parties | No public web presence at all — deep scan should try TX SOS business entity search for 'Twinwood Solar 1 LLC' to identify developer,True,26INR0425,False,0,Twinwood Solar 1,ok,32,
False,True,False,0.89044425,True,IA content: PUCT Interchange blocked during triage — retrieve milestone-schedule exhibit from IA filing (signed 2025-05-02) to check contractual COD vs. reported 2027-12-29 | Developer ID: zero public web footprint; need SEC EDGAR / TX SOS lookup for Rowdy Creek Solar LLC parent/developer,True,24INR0186,False,0,Rowdy Creek Solar,ok,43,
False,True,False,1.0871316,True,Re-image center/south grid rows (lat 32.784 and 32.754) with fresh CDSE auth — auth expired mid-grid; possible panel rows visible at edge suggest active construction | PUCT Interchange IA filing (iaSigned=2024-10-23 confirmed in queue) — retrieve milestone-schedule exhibit and COD commitment; portal returned 402 during triage,True,29INR0015,False,0,Funston Solar,ok,50,
True,False,False,1.5177871500000002,True,"Ch.313 application PDF (App 1925) for site coordinates, acreage, and legal description — file too large for triage WebFetch, use a local PDF reader | BNB Renewables developer profile — no web presence found; check LinkedIn/FERC eLibrary for other BNB projects to validate developer seriousness",False,26INR0019,False,0,HyFuels Green Lake Solar,ok,47,
False,False,False,0.9370054499999998,True,"Developer identity: confirm 'Trailblazer Infrastructure LLC' vs 'Trailblazer Solar LLC' — Texas SOS registration, parent company, track record | Data center connection: Sweetwater City Council resolution and Nolan County TIRZ — retrieve municipal documents to understand offtake/co-location structure",False,27INR0578,True,0,Trailblazer Solar,ok,45,
False,False,False,0.97351185,False,Confirm whether ERCOT queue entry is still active post-TEF withdrawal or if cancellation is pending | PUCT docket 56896 (APP-00000159) withdrawal letter — retrieve when portal access is restored to confirm exact date and stated reason,False,27INR0095,True,0,Bulldog Power (TEF - Due Diligence) ,ok,44,
False,True,False,1.10822055,True,PUCT Interchange blocked (402) — retry IA document search for milestone schedule and exact POI coordinates | Precise site location unknown — Sand Bluff 345kV substation coordinates needed to target imagery; check ERCOT nodal map or other queued Sand Bluff projects for GPS,True,27INR0355,False,0,Gardner Draw Solar,ok,48,
False,True,False,0.8814601499999997,True,"IA exists (signed 2023-10-18) but PUCT portal was 402-blocked — retrieve IA PDF to get POI coordinates, milestone schedule, and parties | Developer is Padre Solar LLC (not SanPat Solar I LLC) — identify parent company / sponsor for credibility assessment",True,25INR0081,False,0,SanPat Solar I,ok,44,
True,True,False,0.9629450999999998,True,"IA PDF (PUCT docket 35077, doc 35077_1999_1446261) — retrieve milestone schedule exhibit; PUCT Interchange requires session cookies, try direct curl or browser fetch | Edith Clarke 345kV substation exact coordinates — resolve via ERCOT transmission map or ETT facilities list to anchor imagery search",True,23INR0140,False,0,Seine BESS,ok,47,
False,True,False,0.9628413000000001,True,"IA confirmed in queue (Oct 2024) but PUCT Interchange portal 402-blocked — fetch IA PDF directly to extract milestone schedule and any CEII-redacted exhibits | Developer identity: infrasure.ai names Nova Clean Energy + CPS Energy PPA + Wanzek EPC — unverified commercial intel, needs primary source confirmation (ERCOT GIMS, TX SOS LLC filing, press releases)",True,27INR0056,False,0,Laurel Wind Energy Center,ok,41,
False,True,False,1.01184225,False,Fix CDSE credentials (401) then run imagery at Wharton city 29.31°N 96.10°W — battery sites are compact and may already be prepped | Identify true POI substation: 'Waterh' may be Wharton or Waterford — ERCOT nodal map or AEP Texas transmission atlas needed to pin exact coords before imagery,False,26INR0725,False,0,PHOTON BESS REPOWERING,ok,40,
False,True,False,1.1620179,True,"Retrieve PUCT docket 35077 NavBoot BESS filing PDF (Oncor IA) — extract POI coordinates, parties, and milestone schedule exhibit; CEII status unknown | Identify developer behind NavBoot BESS LLC — zero web presence found; TX Comptroller taxable entity search and TX SOS for registered agent / parent chain",True,25INR0375,False,0,NavBoot BESS,ok,55,
False,True,False,1.0343025,True,Resolve JIMTREEC7A substation coordinates via ERCOT network map or AEP GIS to enable imagery — this unlocks the entire site-verification chain | PUCT Interchange IA search (portal was 402-blocked during triage) — query FilingParty and Description for 'Wander Waters',False,27INR0207,False,0,Wander Waters BESS,ok,45,
False,False,False,0.7702240500000003,False,Nova Clean Energy portfolio page / press coverage — may have site map or acreage boundary for this specific parcel | PUCT Interchange via authenticated session — check for any IA or FIS filing under 'HyFuels' or 'Nova Clean Energy' or 'BNB Renewable',False,26INR0028,False,0,HyFuels Calhoun Solar,ok,33,
False,True,False,0.8707648499999997,False,"PUCT Interchange: try authenticated/session access to search FilingParty='RIVERBEND SOLAR SLF' — portal returned 402 during triage, IA status unknown | TX SOS entity search for 'RIVERBEND SOLAR SLF LLC' to identify developer/parent company",False,25INR0297,False,0,RIVERBEND SOLAR SLF,ok,35,
False,False,False,0.7997553000000001,False,"CDSE imagery at J.T. Deely substation (29.307, -98.322) — fix credentials and run 3x3 grid; BESS pads are compact and could be present near the substation without any paper trail | PUCT Interchange search for 'Quela' or 'BRP Quela BESS' when portal is accessible — confirm whether any IA draft or generator interconnection filing exists",False,22INR0423,False,0,Quela BESS,ok,36,
False,False,False,0.9951773999999999,False,PUCT Interchange blocked by 402 — retry with authenticated session to check if any IA filing exists under alternate name (Rubicon Power LLC vs Rubicon Power BESS LLC) | Identify the actual TNMP FM524 138kV substation parcel via ERCOT GIS or TNMP public maps to get precise lat/lon for a cloud-free imagery re-run,False,27INR0096,False,0,Rubicon Power BESS,ok,42,
False,True,False,0.7921229999999999,True,"PUCT Interchange IA document — portal blocked (402) during triage; IA signed 2024-08-23 is confirmed in queue data but actual schedule exhibit not retrieved | CDSE imagery — configure credentials and run 3x3 grid at ~31.474N, -96.425W around Limestone substation; construction window opens 2026-10; check recent dates (2026-06/07) for site prep activity",False,25INR0230,False,0,Great Rock BESS,ok,42,
True,True,False,0.9751228500000002,True,PUCT IA document retrieval (docket 53385 or solar-specific docket) — PUCT Interchange blocked (402) during triage; extract milestone schedule exhibit | Pin/precise site coords — gmaps.py returned 429 during triage; re-run to confirm Tradinghouse site anchor and detect any grading/panel activity,True,24INR0038,True,0,Jaguar Solar,ok,45,
False,False,False,0.7453291500000001,True,"IA content inaccessible (PUCT 402) — retrieve PUCT filing 35077/2435 (Mar 2026) via authenticated session to get parties, POI, and milestone schedule | Queue data lag: iaSigned still blank in Jun 2026 snapshot but PUCT IA filed Mar 2026 — confirm IA is signed vs. only filed",True,27INR0438,False,0,Wisdom Solar SLF,ok,33,
False,True,False,0.8317852499999998,True,PUCT control 35077 IA PDF blocked (402) — retrieve milestone schedule exhibit via direct browser or alternate fetch to confirm contractual COD and LGIA parties | FAA OE/AAA turbine filings for San Patricio County 2024–2026 — decisive for exact turbine pad coordinates enabling tight imagery,True,27INR0132,False,0,Palo Verde Wind,ok,36,
False,True,False,1.0837923000000005,True,CDSE imagery: retry with valid credentials — demolition/new-pad activity at ~31.54N/-96.83W should be visible; compare 2025 baseline vs 2026 | FAA OE/AAA: search 'Prairie Hill' + McLennan/Limestone TX for new turbine obstruction filings — gives exact pad coordinates and turbine model,False,27INR0607,True,0,Prairie Phoenix Wind,ok,51,
False,True,False,0.894861,True,PUCT Interchange IA for repower — search authenticated session for docket with Prairie Hill Wind 2024-2026 filing | Exact turbine layout for new 63-turbine array — FAA OE/AAA filings likely filed 2024-2025,False,19INR0100,True,0,Prairie Hill Wind,ok,39,
False,True,False,1.3043266500000004,True,"Locate Twelvemile 345kV substation (ERCOT node 76008) coordinates — this is the only credible site-pin path; try ERCOT nodal map or transmission planning shapefile | Pull IA from PUCT Interchange with authenticated session — IA signed 2025-12-30, parties/POI/schedule exhibit needed; also check amendment filings for schedule updates",True,25INR0451,False,0,Tres Rios Ranch BESS,ok,53,
False,True,False,0.7996445999999999,True,Locate IA document via PUCT Interchange (portal was 402-blocked during triage) — extract POI/parties/milestone schedule | Identify Stryker substation (node 3109) coordinates to establish site search box for imagery,False,27INR0313,False,0,Spindletop Solar,ok,35,
True,True,False,1.1599827,True,"IA documents at PUCT 35077 (items 1138, 2355, 1877) are confirmed but portal-blocked — retrieve milestone schedule exhibit and parties page for COD commitment date | EDF Renewables developer confirmed — check EDF press releases or FERC EWG filing for financing/offtake announcements",True,21INR0263,False,0,Monarch Creek Wind,ok,45,
False,False,False,1.0223397,False,PUCT Interchange manual search for UNICORN BESS IA filing (automated access blocked during triage) | TX SOS entity search for UNICORN BESS LLC to identify developer/sponsor,False,27INR0142,False,0,UNICORN BESS,ok,43,
False,True,False,0.9113574000000001,True,"PUCT Interchange IA filing: session-authenticated search for FilingParty='OCI SunRoper' or docket containing SunRoper — IA was signed 2025-07-10 so a filed IA or amendment should exist; extract milestone schedule exhibit | Imagery: CDSE was unreachable; re-run 3x3 chip grid at 29.16N, 96.06W (Lane City area) when API is up; also check 29.13-29.19N corridor along US-59",True,24INR0167,False,0,OCI SunRoper,ok,40,
False,True,False,0.9428333999999999,True,"Retrieve IA PDF from PUCT Interchange (PUCT 402 during triage — try authenticated session or direct docket number lookup); extract parties, developer name, POI map, and milestone schedule exhibit | Locate Willow Creek Switch 345kV substation coordinates to establish a site candidate; try ERCOT transmission maps or Oncor GIS",True,24INR0118,False,0,Possum Kingdom Solar,ok,38,
