isomarketid,branchID,branchName,ptoIDSource,InsertDate,b1,b2,b3,ckt,OP_EQCODE,LNNAME,EQNAME,DeviceType,FromName,ToName,b3Text,branchStationID,branchDeviceTypeId,teid,collapseId,legacyBranchId,ptoBranchID,fromNum,toNum,pto_ckt,pto_deviceType,identity_key,has_pto_match,dup_type
6,60012912,6640,533.0,2023-10-05 10:18:00.000,,,,1,6640__A,6640,_A,Line,FRSTHILL_9,BRYN_AV_9,,,,262.0,60105300.0,,63897275.0,1450.0,1488.0,1 ,Line,1450|1488|1,True,teid_collision_different_branches
6,60005633,KINGNW_KING_T2,3.0,2015-02-26 12:36:00.000,,,,1,KINGNW_KING_T2_1,KINGNW_KING_T2,1,Line,L_KINGMO8_1Y,KING_NW_1_8,,,,267.0,,,63703100.0,76635.0,130732.0,1 ,Line,76635|130732|1,True,teid_collision_different_branches
6,60011027,KINGNW_KNGWTAP1,224.0,2020-09-28 09:41:00.000,,,,1,KINGNW_KNGWTAP_1,KINGNW_KNGWTAP,1,Line,KING_NW_1_8,KING_NW_8,KINGNW_KNGWTAP_1,,1.0,267.0,,,63907656.0,130732.0,130734.0,1 ,Line,130732|130734|1,True,teid_collision_different_branches
6,60003281,BETHL_FORE,3.0,2015-02-26 12:35:00.000,,,,1,BETHL_FORE_1,BETHL_FORE,1,Line,BETHEL,FORRESTON,,,,298.0,,,60011281.0,204.0,225.0,1,Line,204|225|1,True,teid_collision_different_branches
6,60008875,BETHL_BRDSW1,46.0,2018-06-08 13:09:00.000,,,,1,BETHL_BRDSW_1,BETHL_BRDSW,1,Line,BARDWELL_9,BETHEL2,BETHL_BRDSW_1,,1.0,298.0,,,63898377.0,2295.0,33204.0,1 ,Line,2295|33204|1,True,teid_collision_different_branches
6,60002182,6475_F,3.0,2015-02-26 12:35:00.000,,,,1,6475__F,6475,_F,Line,ODESSANO_8,ODESSA2_8,,,,316.0,,,63694833.0,1122.0,1126.0,1 ,Line,1122|1126|1,True,same_identity_reinserted
6,60011481,6513_A,327.0,2021-09-30 15:37:00.000,,,,1,6513__A,6513,_A,Line,ODESSA2_8,ODESSANO_8,6513_A,,1.0,316.0,,,63896812.0,1122.0,1126.0,1 ,Line,1122|1126|1,True,same_identity_reinserted
6,60000811,2110_A,3.0,2015-02-26 12:35:00.000,,,,1,2110__A,2110,_A,Line,CHCOWEST_9,CHCOCSER_9,,,,337.0,60010868.0,,63695383.0,1553.0,1554.0,1 ,Line,1553|1554|1,True,same_identity_reinserted
6,60010868,2110,224.0,2020-09-28 09:41:00.000,,,,1,2110__A,2110,_A,Line,CHCOWEST_9,CHCOCSER_9,,,,337.0,,,63706136.0,1553.0,1554.0,1 ,Line,1553|1554|1,True,same_identity_reinserted
6,60002215,6510_D,3.0,2015-02-26 12:35:00.000,,,,1,6510__D,6510,_D,Line,ODESSA1_8,LIQDAIR_8,,,,361.0,,,63694847.0,1126.0,11127.0,1 ,Line,1126|11127|1,True,same_identity_reinserted
6,60011482,6512_A,327.0,2021-09-30 15:37:00.000,,,,1,6512__A,6512,_A,Line,ODESSA2_8,LIQAIRTP_8,,,,361.0,,,63896829.0,1126.0,11127.0,1 ,Line,1126|11127|1,True,same_identity_reinserted
6,60005918,LONEWOLF,3.0,2015-02-26 12:35:00.000,,,,1,LONEWOLF_1,LONEWOLF,1,Line,CHAMPNCRK_5,LONEWOLF_1_5,,,,362.0,,,63695192.0,1414.0,181153.0,1 ,Line,1414|181153|1,True,same_identity_reinserted
6,60011187,LONEWOLF_TLINE1,276.0,2021-03-31 08:57:00.000,,,,1,LONEWOLF_TLINE_1,LONEWOLF_TLINE,1,Line,CHAMPNCRK_5,LONEWOLF_1_5,LONEWOLF_1,,1.0,362.0,,,63897179.0,1414.0,181153.0,1 ,Line,1414|181153|1,True,same_identity_reinserted
6,60012953,1000161,,2023-11-21 12:26:39.067,,,,1,100016_1,100016,1,Line,LIVEOAK1_8,LIVEOAK,100016_1,,,375.0,60098208.0,,,,,,,-1|-1|,False,insufficient_pto_data
6,60098208,100016,1180.0,2025-05-29 13:42:54.860,,,,1,100016_1,100016,1,Line,LIVEOAK,LIVEOAK1_8,,,,375.0,,,63896072.0,498.0,1583.0,1 ,Line,498|1583|1,True,insufficient_pto_data
6,60000092,107,3.0,2015-02-26 12:35:00.000,,,,1,107__A,107,_A,Line,ROANOKE3T5,HICKS_SW1_5,,,,377.0,60094842.0,,63898156.0,2081.0,15855.0,2 ,Line,2081|15855|2,True,teid_collision_different_branches
6,60094842,107_A,722.0,2024-12-24 15:50:00.943,,,,1,107__A,107,_A,Line,ROANOKE3T5,HICKS_SW1_5,,,,377.0,,,61671331.0,1845.0,2081.0,1 ,Line,1845|2081|1,True,teid_collision_different_branches
6,60000644,180,3.0,2015-02-26 12:35:00.000,,,,1,180__A,180,_A,Line,MARTINLK_5,ELKTON_5,,,,380.0,60096984.0,,63707959.0,3100.0,3105.0,1 ,Line,3100|3105|1,True,same_identity_reinserted
6,60096984,180_A,1170.0,2025-04-30 13:20:18.480,,,,1,180__A,180,_A,Line,MARTINLK_5,ELKTON_5,,,,380.0,,,63650315.0,3100.0,3105.0,1 ,Line,3100|3105|1,True,same_identity_reinserted
6,60000972,2440_A,3.0,2015-02-26 12:35:00.000,,,,1,2440__A,2440,_A,Line,MUNSON1_9,QUINLAN_8,,,,409.0,60095247.0,,63707695.0,2729.0,2730.0,1 ,Line,2729|2730|1,True,same_identity_reinserted
6,60095247,2440,733.0,2025-01-29 10:24:02.563,,,,1,2440__A,2440,_A,Line,MUNSON1_9,QUINLAN_9,,,,409.0,,,63899023.0,2729.0,2730.0,1 ,Line,2729|2730|1,True,same_identity_reinserted
6,60000868,2220_B,3.0,2015-02-26 12:35:00.000,,,,1,2220__B,2220,_B,Line,GATESVIL_T9,GATESVIL1_9,,,,415.0,60094843.0,,63708549.0,3583.0,3587.0,1 ,Line,3583|3587|1,True,same_identity_reinserted
6,60094843,2220,722.0,2024-12-24 15:50:00.943,,,,1,2220__B,2220,_B,Line,GATESVIL_T9,GATESVIL1_9,,,,415.0,,,63899949.0,3583.0,3587.0,1 ,Line,3583|3587|1,True,same_identity_reinserted
6,60002704,870_A,3.0,2015-02-26 12:35:00.000,,,,1,870__A,870,_A,Line,COMM_SW_8,COMM_S1_8,,,,423.0,,,63897716.0,1816.0,1819.0,1 ,Line,1816|1819|1,True,insufficient_pto_data
